[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e36000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e36004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e38000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e38004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3a000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3a004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3c000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3c004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3e000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3e004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1e00004 0x4
[0] 0.061696     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.061952     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e02000 0x4
[0] 0.061952     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e02004 0x4
[0] 0.061952     RomRead:e04ea973:02:05: PROPAD_CreateFROMPropertyHandle DRAMAddr 0x415a7000
[0] 0.065536     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ec8 0xe1980000 0x4
[0] 0.065792     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ecc 0xe1980004 0x4
[0] 0.065792     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f28 0xe1980004 0x4
[0] 0.065792     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.066048      SFRead:e0162d95:02:05: PROPTUNEAD_CreateFROMPropertyHandleToDRAM Addr:0x41287000
[0] 0.068864      SFRead:e01f6c63:02:03: PROPCOMBO_LoadProperty(395)
[0] 0.069120      SFRead:e01e567d:00:01: [HPC] HPCopy() use ch1 !
[0] 0.070144      DbgMgr:e05ead8f:00:01: [PM] Disable (ID = 10, cnt = 1/2)
[0] 0.070912      DbgMgr:e05eae1b:00:01: [PM] Enable (ID = 10, cnt = 0/1)
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ec8 0xe1980000 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ecc 0xe1980004 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e40000 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e40004 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e80000 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e80004 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1ec0000 0x4
[0] 0.102400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1ec0004 0x4
[0] 0.102656     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1e40004 0x4
[0] 0.102656     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.105728     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e80000 0x4
[0] 0.105728     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e80004 0x4
[0] 0.109568     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1f00000 0x4
[0] 0.109824     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1f00004 0x4
[0] 0.109824     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1f00004 0x4
[0] 0.109824     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.111104     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1f00000 0x4
[0] 0.111104     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1f00004 0x4
[0] 0.111104     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
[0] 0.111360     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.111360     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ef8 0xe1f20004 0x4
[0] 0.111360     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.114432     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
